Day ,Items ,Note ,Amount 
33,Interest Expense ,Cash Payment - Interest - For Overdraft,2954
33,Depreciation Expense,Non-Cash Expense - Depreciation,10000
33,Rental Expense,Cash Payment - Rental - Detroit,1200
33,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2700
33,Rental Expense,Cash Payment - Rental - Los Angeles,1080
33,Rental Expense,Cash Payment - Rental - Chicago,1600
33,Rental Expense,Cash Payment - Rental - New York,2680
33,Rental Expense,Cash Payment - Rental - Miami,1120
33,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
33,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1560
33,Rental Expense,Cash Payment - Rental - San Francisco,2240
32,Human Resource Expense,Attended Training,15000
32,Salary Expense,Cash Payment - Salary Expense,21256
32,Shipping Expense,Cash Payment - Move Stock ID: 4814,13540
32,Interest Expense ,Cash Payment - Interest - For Overdraft,3981
32,Depreciation Expense,Non-Cash Expense - Depreciation,10000
32,Rental Expense,Cash Payment - Rental - Detroit,1200
32,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2820
32,Rental Expense,Cash Payment - Rental - Los Angeles,1080
32,Rental Expense,Cash Payment - Rental - Chicago,1600
32,Rental Expense,Cash Payment - Rental - New York,2680
32,Rental Expense,Cash Payment - Rental - Miami,1120
32,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
32,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1690
32,Rental Expense,Cash Payment - Rental - San Francisco,2240
31,Salary Expense,Cash Payment - Salary Expense,21009
31,Interest Expense ,Cash Payment - Interest - For Overdraft,3082
31,Depreciation Expense,Non-Cash Expense - Depreciation,10000
31,Rental Expense,Cash Payment - Rental - Detroit,1200
31,Rental Expense,Cash Payment - Rental - Los Angeles,1080
31,Rental Expense,Cash Payment - Rental - Chicago,1600
31,Rental Expense,Cash Payment - Rental - New York,2680
31,Rental Expense,Cash Payment - Rental - Miami,1120
31,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4550
31,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
31,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1690
31,Rental Expense,Cash Payment - Rental - San Francisco,2240
30,Human Resource Expense,Counselled,2000
30,Human Resource Expense,Counselled,2000
30,Salary Expense,Cash Payment - Salary Expense,20458
30,Interest Expense ,Cash Payment - Interest - For Overdraft,4110
30,Depreciation Expense,Non-Cash Expense - Depreciation,10000
30,Rental Expense,Cash Payment - Rental - Detroit,1200
30,Rental Expense,Cash Payment - Rental - Los Angeles,1080
30,Rental Expense,Cash Payment - Rental - Chicago,1600
30,Rental Expense,Cash Payment - Rental - New York,2680
30,Rental Expense,Cash Payment - Rental - Miami,1120
30,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4550
30,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
30,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1690
30,Rental Expense,Cash Payment - Rental - San Francisco,2240
29,Salary Expense,Cash Payment - Salary Expense,20458
29,Shipping Expense,Cash Payment - Move Stock ID: 1288,56423
29,Interest Expense ,Cash Payment - Interest - For Overdraft,3074
29,Depreciation Expense,Non-Cash Expense - Depreciation,10000
29,Rental Expense,Cash Payment - Rental - Detroit,1200
29,Rental Expense,Cash Payment - Rental - Los Angeles,1080
29,Rental Expense,Cash Payment - Rental - Chicago,1600
29,Rental Expense,Cash Payment - Rental - New York,2680
29,Rental Expense,Cash Payment - Rental - Miami,1120
29,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4620
29,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
29,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1820
29,Rental Expense,Cash Payment - Rental - San Francisco,2240
28,Human Resource Expense,Attended Training,15000
28,Human Resource Expense,Attended Training,15000
