Day,Location ,Product ,Unit Sold ,Revenue ,COGS 
65,"Washington, D.C.",Sparkling Wine,46,1334,215
65,"Washington, D.C.",Red Wine,52,1664,519
65,"Washington, D.C.",White Wine,39,1326,351
65,San Francisco,Sparkling Wine,81,2349,378
65,San Francisco,Red Wine,51,1632,509
65,San Francisco,White Wine,54,1836,486
64,Los Angeles,Sparkling Wine,178,5162,832
64,Los Angeles,Red Wine,113,3616,1209
64,Los Angeles,White Wine,84,2856,757
64,New York,Sparkling Wine,245,7105,1145
64,New York,Red Wine,161,5152,1723
64,New York,White Wine,118,4012,1063
64,Miami,Sparkling Wine,21,609,98
64,Miami,Red Wine,16,512,171
64,Miami,White Wine,18,612,162
64,"Washington, D.C.",Sparkling Wine,25,725,117
64,"Washington, D.C.",Red Wine,34,1088,364
64,"Washington, D.C.",White Wine,23,782,207
64,San Francisco,Sparkling Wine,55,1595,257
64,San Francisco,Red Wine,27,864,289
64,San Francisco,White Wine,27,918,243
63,Los Angeles,Sparkling Wine,213,6177,1291
63,Los Angeles,Red Wine,116,3712,1284
63,Los Angeles,White Wine,89,3026,833
63,New York,Sparkling Wine,272,7888,1649
63,New York,Red Wine,178,5696,1970
63,New York,White Wine,157,5338,1470
63,Miami,Sparkling Wine,22,638,133
63,Miami,Red Wine,18,576,199
63,Miami,White Wine,20,680,187
63,"Washington, D.C.",Sparkling Wine,33,957,200
63,"Washington, D.C.",Red Wine,30,960,332
63,"Washington, D.C.",White Wine,26,884,243
63,San Francisco,Sparkling Wine,51,1479,309
63,San Francisco,Red Wine,31,992,343
63,San Francisco,White Wine,31,1054,290
62,Los Angeles,Sparkling Wine,182,5278,1103
62,Los Angeles,Red Wine,112,3584,1240
62,Los Angeles,White Wine,112,3808,1132
62,New York,Sparkling Wine,295,8555,1788
62,New York,Red Wine,161,5152,1782
62,New York,White Wine,138,4692,1395
62,Miami,Sparkling Wine,17,493,103
62,Miami,Red Wine,20,640,221
62,Miami,White Wine,22,748,222
62,"Washington, D.C.",Sparkling Wine,28,812,170
62,"Washington, D.C.",Red Wine,26,832,288
62,"Washington, D.C.",White Wine,24,816,243
62,San Francisco,Sparkling Wine,52,1508,315
62,San Francisco,Red Wine,35,1120,387
62,San Francisco,White Wine,35,1190,354
61,Los Angeles,Red Wine,119,3808,1317
61,Los Angeles,White Wine,103,3502,1095
61,New York,Sparkling Wine,278,8062,1810
61,New York,Red Wine,136,4352,1505
61,New York,White Wine,136,4624,1446
61,Miami,Sparkling Wine,18,522,117
61,Miami,Red Wine,19,608,210
61,Miami,White Wine,22,748,234
61,"Washington, D.C.",Sparkling Wine,23,667,150
61,"Washington, D.C.",Red Wine,27,864,299
61,"Washington, D.C.",White Wine,26,884,276
61,San Francisco,Sparkling Wine,51,1479,332
61,San Francisco,Red Wine,26,832,288
61,San Francisco,White Wine,31,1054,330
60,Los Angeles,Red Wine,88,2816,986
60,Los Angeles,White Wine,119,4046,1265
60,New York,Sparkling Wine,281,8149,1970
60,New York,Red Wine,150,4800,1681
60,New York,White Wine,126,4284,1339
60,Miami,Sparkling Wine,15,435,105
60,Miami,Red Wine,17,544,191
60,Miami,White Wine,19,646,202
60,"Washington, D.C.",Sparkling Wine,31,899,217
60,"Washington, D.C.",Red Wine,26,832,291
60,"Washington, D.C.",White Wine,27,918,287
60,San Francisco,Sparkling Wine,47,1363,330
60,San Francisco,Red Wine,31,992,347
60,San Francisco,White Wine,26,884,276
59,Los Angeles,Red Wine,121,3872,1356
59,Los Angeles,White Wine,95,3230,1010
59,New York,Sparkling Wine,271,7859,1897
59,New York,Red Wine,137,4384,1535
59,New York,White Wine,128,4352,1361
59,Miami,Sparkling Wine,16,464,112
59,Miami,Red Wine,21,672,235
59,Miami,White Wine,19,646,202
59,"Washington, D.C.",Sparkling Wine,25,725,175
59,"Washington, D.C.",Red Wine,32,1024,359
59,"Washington, D.C.",White Wine,27,918,287
59,San Francisco,Sparkling Wine,50,1450,350
59,San Francisco,Red Wine,37,1184,415
59,San Francisco,White Wine,37,1258,393
58,Los Angeles,Red Wine,279,8928,3127
58,Los Angeles,White Wine,309,10506,3285
58,New York,Sparkling Wine,855,24795,5986
58,New York,Red Wine,396,12672,4438
58,New York,White Wine,364,12376,3869
58,Miami,Sparkling Wine,58,1682,406
58,Miami,Red Wine,48,1536,538
58,Miami,White Wine,48,1632,510
58,"Washington, D.C.",Sparkling Wine,95,2755,665
58,"Washington, D.C.",Red Wine,75,2400,841
58,"Washington, D.C.",White Wine,65,2210,691
58,San Francisco,Sparkling Wine,133,3857,931
58,San Francisco,Red Wine,85,2720,953
58,San Francisco,White Wine,85,2890,904
57,Los Angeles,Red Wine,250,8000,2985
57,Los Angeles,White Wine,204,6936,2203
57,New York,Sparkling Wine,475,13775,4365
57,New York,Red Wine,333,10656,3976
57,New York,White Wine,277,9418,2991
57,Miami,Sparkling Wine,40,1160,368
57,Miami,Red Wine,35,1120,418
57,Miami,White Wine,41,1394,443
57,"Washington, D.C.",Sparkling Wine,72,2088,662
57,"Washington, D.C.",Red Wine,72,2304,860
57,"Washington, D.C.",White Wine,46,1564,497
57,San Francisco,Sparkling Wine,128,3712,1176
57,San Francisco,Red Wine,83,2656,991
57,San Francisco,White Wine,84,2856,907
56,Los Angeles,Red Wine,229,7328,2977
56,Los Angeles,White Wine,253,8602,2814
56,New York,Sparkling Wine,613,17777,5724
56,New York,Red Wine,323,10336,4200
56,New York,White Wine,398,13532,4426
56,Miami,Sparkling Wine,52,1508,486
56,Miami,Red Wine,40,1280,520
56,Miami,White Wine,51,1734,567
56,"Washington, D.C.",Sparkling Wine,70,2030,654
56,"Washington, D.C.",Red Wine,85,2720,1105
56,"Washington, D.C.",White Wine,58,1972,645
56,San Francisco,Sparkling Wine,155,4495,1447
56,San Francisco,Red Wine,88,2816,1144
56,San Francisco,White Wine,88,2992,979
55,Los Angeles,Red Wine,230,7360,2990
55,Los Angeles,White Wine,253,8602,3174
55,New York,Sparkling Wine,604,17516,5640
55,New York,Red Wine,298,9536,3874
55,New York,White Wine,275,9350,3450
55,Miami,Sparkling Wine,47,1363,439
55,Miami,Red Wine,39,1248,507
55,Miami,White Wine,47,1598,590
55,"Washington, D.C.",Sparkling Wine,54,1566,504
55,"Washington, D.C.",Red Wine,53,1696,689
55,"Washington, D.C.",White Wine,69,2346,866
55,San Francisco,Sparkling Wine,106,3074,990
55,San Francisco,Red Wine,70,2240,910
55,San Francisco,White Wine,73,2482,916
54,Los Angeles,Red Wine,110,3520,1430
54,Los Angeles,White Wine,91,3094,1144
54,New York,Sparkling Wine,251,7279,2671
54,New York,Red Wine,154,4928,2002
54,New York,White Wine,155,5270,1949
54,Miami,Sparkling Wine,14,406,149
54,Miami,Red Wine,20,640,260
54,Miami,White Wine,21,714,264
54,"Washington, D.C.",Sparkling Wine,26,754,277
54,"Washington, D.C.",Red Wine,24,768,312
54,"Washington, D.C.",White Wine,24,816,302
54,San Francisco,Sparkling Wine,46,1334,489
54,San Francisco,Red Wine,36,1152,468
54,San Francisco,White Wine,31,1054,390
53,Los Angeles,Red Wine,127,4064,1660
53,Los Angeles,White Wine,102,3468,1282
53,New York,Sparkling Wine,293,8497,3118
53,New York,Red Wine,126,4032,1647
53,New York,White Wine,138,4692,1735
53,Miami,Sparkling Wine,21,609,223
53,Miami,Red Wine,17,544,222
53,Miami,White Wine,19,646,239
53,"Washington, D.C.",Sparkling Wine,35,1015,372
53,"Washington, D.C.",Red Wine,26,832,340
53,"Washington, D.C.",White Wine,25,850,314
53,San Francisco,Sparkling Wine,50,1450,532
53,San Francisco,Red Wine,34,1088,444
53,San Francisco,White Wine,32,1088,402
52,Los Angeles,Red Wine,95,3040,1242
52,Los Angeles,White Wine,119,4046,1496
52,New York,Sparkling Wine,272,7888,2888
52,New York,Red Wine,152,4864,1987
52,New York,White Wine,127,4318,1597
52,Miami,Sparkling Wine,21,609,223
52,Miami,Red Wine,18,576,235
52,Miami,White Wine,16,544,201
52,"Washington, D.C.",Sparkling Wine,28,812,297
52,"Washington, D.C.",Red Wine,33,1056,431
52,"Washington, D.C.",White Wine,23,782,289
52,San Francisco,Sparkling Wine,56,1624,595
52,San Francisco,Red Wine,33,1056,431
52,San Francisco,White Wine,38,1292,478
51,Los Angeles,Red Wine,112,3584,1464
51,Los Angeles,White Wine,89,3026,1116
51,New York,Sparkling Wine,281,8149,2951
51,New York,Red Wine,153,4896,2000
51,New York,White Wine,125,4250,1568
51,Miami,Sparkling Wine,20,580,210
51,Miami,Red Wine,17,544,222
51,Miami,White Wine,20,680,251
51,"Washington, D.C.",Sparkling Wine,25,725,263
51,"Washington, D.C.",Red Wine,30,960,392
51,"Washington, D.C.",White Wine,22,748,276
51,San Francisco,Sparkling Wine,64,1856,672
51,San Francisco,Red Wine,30,960,392
51,San Francisco,White Wine,31,1054,389
50,Los Angeles,Red Wine,145,4640,1896
50,Los Angeles,White Wine,155,5270,1944
50,New York,Sparkling Wine,239,6931,2553
50,New York,Red Wine,167,5344,2183
50,New York,White Wine,127,4318,1593
50,Miami,Sparkling Wine,21,609,224
50,Miami,Red Wine,19,608,248
50,Miami,White Wine,16,544,201
50,"Washington, D.C.",Sparkling Wine,23,667,246
50,"Washington, D.C.",Red Wine,26,832,340
50,"Washington, D.C.",White Wine,21,714,263
50,San Francisco,Sparkling Wine,47,1363,502
50,San Francisco,Red Wine,39,1248,510
50,San Francisco,White Wine,37,1258,464
49,Los Angeles,Red Wine,147,4704,1922
49,Los Angeles,White Wine,149,5066,1869
49,New York,Sparkling Wine,277,8033,2966
49,New York,Red Wine,130,4160,1700
49,New York,White Wine,160,5440,2007
49,Miami,Sparkling Wine,20,580,214
49,Miami,Red Wine,17,544,222
49,Miami,White Wine,18,612,226
49,"Washington, D.C.",Sparkling Wine,30,870,321
49,"Washington, D.C.",Red Wine,29,928,379
49,"Washington, D.C.",White Wine,26,884,326
49,San Francisco,Sparkling Wine,57,1653,610
49,San Francisco,Red Wine,30,960,392
49,San Francisco,White Wine,35,1190,439
48,Los Angeles,Red Wine,168,5376,2267
48,Los Angeles,White Wine,145,4930,1819
48,New York,Sparkling Wine,317,9193,3440
48,New York,Red Wine,164,5248,2213
48,New York,White Wine,163,5542,2044
48,Miami,Sparkling Wine,16,464,174
48,Miami,Red Wine,19,608,256
48,Miami,White Wine,18,612,226
48,"Washington, D.C.",Sparkling Wine,28,812,304
48,"Washington, D.C.",Red Wine,26,832,351
48,"Washington, D.C.",White Wine,29,986,364
48,San Francisco,Sparkling Wine,51,1479,553
48,San Francisco,Red Wine,42,1344,567
48,San Francisco,White Wine,43,1462,539
47,Los Angeles,Red Wine,253,8096,3414
47,Los Angeles,White Wine,234,7956,2935
47,New York,Red Wine,252,8064,3400
47,New York,White Wine,258,8772,3236
47,Miami,Sparkling Wine,29,841,338
47,Miami,Red Wine,32,1024,432
47,Miami,White Wine,28,952,351
47,"Washington, D.C.",Sparkling Wine,47,1363,548
47,"Washington, D.C.",Red Wine,51,1632,688
